,cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
56,5,SLC39A11,1.50565676257238e-85,1.60407679368129,0.665,0.276,3.77407924106392e-81
57,5,LYPD6,1.99959673039897e-145,1.55102534443648,0.66,0.176,5.01218916441806e-141
58,5,MED12L,1.49278763438379e-79,1.53737842213504,0.741,0.364,3.74182148434641e-75
59,5,PLCB4,5.73132915650098e-102,1.53606925390538,0.87,0.48,1.43661496636854e-97
60,5,TTYH2,2.14527646851677e-224,1.53600335350538,0.636,0.103,5.37734999598414e-220
61,6,DSCAM,4.64704606019374e-123,1.56576382367862,0.965,0.504,1.16482856544816e-118
62,6,NRP1,1.5626799786717e-116,1.56513121202131,0.807,0.334,3.91701363453847e-112
63,6,CUX2,4.86435589064928e-99,1.38810643146381,0.915,0.483,1.21929944755015e-94
64,6,RBFOX1,2.38627654501255e-114,1.38660839206908,1,0.836,5.98144078772845e-110
65,6,UNC5D,6.35196292834043e-104,1.23186472262543,1,0.903,1.59218302761781e-99
66,6,DPY19L1,1.17153662651945e-69,1.21335925560619,0.779,0.437,2.93657370803365e-65
67,6,EPHA3,2.07493034086681e-84,1.18000219884262,0.962,0.736,5.20102039241675e-80
68,6,CDH4,8.59374179298867e-71,1.13669300827907,0.912,0.643,2.15410731783054e-66
69,6,CACNA1E,1.28667545310944e-52,1.12704653292592,0.707,0.395,3.22518069076412e-48
70,6,LRRC7,6.87987394637794e-112,1.12160230125728,0.997,0.86,1.72450920339909e-107
71,7,HS6ST3,2.44132588924069e-150,1.97497688858768,0.902,0.338,6.11942747397072e-146
72,7,SATB2,8.35733873826556e-151,1.85321190940717,0.995,0.565,2.09485052813364e-146
73,7,RBFOX1,1.56449730779598e-163,1.84284939862145,1,0.837,3.92156895172142e-159
74,7,SLC44A5,5.96644100117751e-145,1.7459661490933,0.987,0.645,1.49554810135516e-140
75,7,DSCAM,8.0973092742846e-160,1.67559258587425,1,0.503,2.02967154269218e-155
76,7,CUX2,1.43517825992325e-120,1.49898377576271,0.953,0.482,3.59741782632362e-116
77,7,CDH4,9.33310741783181e-138,1.48288366883802,0.992,0.638,2.33943670535372e-133
78,7,IQCJ-SCHIP1,6.43542068556122e-44,1.43646207239065,0.491,0.208,1.61310254904278e-39
79,7,PLXNA4,6.34619544119344e-104,1.37793899839259,0.956,0.538,1.59073734928955e-99
80,7,MCTP1,3.55380653546101e-114,1.34795614664529,0.798,0.281,8.90797146178656e-110
81,8,AC016205.1,8.32818172150429e-221,2.29079425369947,0.874,0.221,2.08754203031226e-216
