1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
CLIC1	22.66789246	23.66535759	24.14887619	23.27426529	20.09638977	22.13627243	23.71607208	24.58743477	24.47747612	22.80772209	23.16910172	22.24762726	21.17102814	23.95118141	22.00092697	22.27523232	21.78787613	20.14805603	23.11308479	22.43224335	23.50917816	24.71282387	23.20220184	20.79407883	22.82969856	21.70619774	22.24585915	22.14161491	21.7892704	24.27561569	25.04067802	22.41732979	21.85984421	20.52416801	23.48897934	24.1734848	20.14875031	20.0925808	21.53767967	22.98893166	22.55281258	23.30284882	24.12549782	23.98381042	24.05573082	25.19610405	22.20245552	19.70881653
EIF3F	21.23736382	20.86698723	21.83834457	22.09384346	21.32904243	21.85494614	21.28308296	21.18131638	21.43344116	21.93657303	22.50760651	21.52750206	21.05191994	19.29820061	21.45383072	21.3436451	20.79407883	21.91539192	22.01760483	21.83761215	21.91466331	22.50835609	22.60927963	22.05251694	21.53801155	20.96324539	21.67305756	21.66735077	22.19210625	22.27517509	20.31712341	22.08371925	22.06476974	22.83223343	21.19688606	20.87274933	20.44532013	21.47768593	19.73287201	20.78967857	19.08246422	20.78730583	20.65484428	22.00754547	22.25294876	22.52700043	21.75637627	20.47372055
SAP18	19.36158562	20.54863167	19.75378227	20.26026535	20.50859642	19.97860146	21.39914131	18.88528633	20.24777794	19.33624268	20.03629684	19.51410103	21.94663811	21.13746071	19.25666618	21.97977066	21.46068954	22.3566246	19.83040047	19.82129669	19.29022789	19.79721832	18.89801788	19.75017738	19.62662697	19.86563683	21.1145153	20.03918076	21.16244698	18.52846527	21.48586273	20.07837868	19.89565659	23.19804001	19.79464722	20.39604378	20.50623322	21.23064423	19.66984749	20.07273293	20.00302887	20.76173019	22.43512154	19.71997643	21.80939102	20.08571815	20.29884148	21.28543091
DNM1L	23.888834	23.02786446	23.82201576	24.82972908	24.20217133	24.14553833	23.57276726	23.07288742	23.46998215	23.75928688	23.96508026	23.97272301	24.03389168	22.6344471	23.11333847	22.90798759	22.42731476	24.05250168	23.41170502	23.69487381	23.82259941	23.59149361	23.42572784	23.51544952	24.04568481	24.2524147	24.44018745	24.17386627	24.32347298	23.63123131	23.25205231	23.96763229	23.91597557	23.88911247	23.44556427	23.22511482	24.65130043	22.71527672	23.49228287	22.80463409	22.34101295	20.14399338	23.43440819	22.94113159	23.38666534	23.56975746	23.51304054	23.32991982
PIK3R2	20.43205833	19.70860672	19.86671257	20.24223137	19.50019646	21.49008179	20.58490372	20.64552879	19.01244545	20.50305748	20.67882729	20.53602028	19.33175659	19.53532982	19.57860947	19.27321625	20.59762573	20.41691399	18.72972107	21.23526192	20.73636627	19.4413414	19.20734024	19.83301544	20.97645187	19.35110664	20.01239204	19.54225159	19.86824989	20.21643829	19.43940544	19.98537445	20.51231194	20.02872276	20.96784019	21.75561714	20.33044243	20.99872017	19.50487709	20.26358414	19.9031601	19.69580269	21.45184898	21.16396523	19.53337669	21.4766655	21.48500633	20.76940346
AGRN	21.88985443	20.55356216	20.16809082	21.66249084	19.86013222	21.6541214	20.9460659	19.76018906	20.7501564	21.63599777	20.47643471	21.48384666	19.14640427	19.52292252	21.57879066	19.67391968	18.41251755	21.34510803	19.98995399	20.57920456	19.58004951	19.1406002	20.46682549	21.21383095	20.92607498	21.52974319	19.57790184	19.31994247	20.07479286	21.7735424	20.56898117	21.95336723	20.68474579	23.10988426	22.14597321	20.14862251	22.08925819	20.04955864	20.97554207	21.80797768	19.10756111	19.96323395	22.11356163	21.85243416	20.59677887	20.55358505	21.80254555	21.46777153
CHL1	22.62542343	20.58804893	19.87866211	22.21255493	22.30421448	22.95404243	23.26241302	22.56781006	19.60361671	23.16734123	22.60896492	22.88252258	23.04224968	20.86521721	22.59400177	22.7680378	24.33735657	20.21534348	19.46196938	24.32546616	22.66709137	21.70413017	22.16775513	23.90076447	23.76476288	24.65485382	21.8815136	22.40124702	21.80711365	22.64112473	19.40222931	22.72292519	23.68912506	22.32509422	22.49362755	20.04072571	23.30075645	23.2053833	25.61509705	21.35137749	24.05424118	22.36751747	20.45816803	20.4301815	21.47580719	20.45340729	23.1181488	21.31030273
NOP56	19.80516434	20.29219055	18.59259224	19.81543159	20.62633896	20.98551369	19.21956444	21.032547	20.9681778	20.01304054	21.11527824	20.6961689	21.65927124	21.07887459	20.96465683	20.39577866	20.48971367	20.26114655	19.33073997	20.82189178	20.79542732	19.79810905	20.6912365	19.09771538	20.8388443	20.94329262	21.15690613	20.95737648	21.32097054	19.71035385	19.85162735	21.06144524	20.26914024	19.67224312	20.24506187	19.97389793	21.42439842	19.81085205	20.05882835	20.22815323	21.28899574	19.99573517	21.8928299	20.16177177	20.96923256	20.78781128	19.91373634	19.36148453
DDX3X	20.47106743	22.96266365	22.45269394	22.46156502	22.92784882	23.52348709	22.77486992	23.5994606	22.6649437	22.4453373	23.69168282	22.94426155	23.55742264	23.70144653	23.20821381	23.37636757	22.84364319	22.50784874	22.74622154	22.8365345	23.28220749	23.35743141	23.47258759	22.15545464	23.49704361	22.30518913	23.17983055	22.91110039	23.52671432	22.99274063	23.20503998	23.34827232	22.34689522	22.05745125	23.01814842	22.10069275	21.45638466	21.88028145	21.43466377	22.10667801	22.74829102	20.6520443	21.94041443	20.25947189	22.54061508	22.54158401	20.72260857	21.81581497
PDXK	22.75971222	22.17316437	22.18007278	22.80291939	22.97298622	22.90525246	23.12324142	19.94963264	22.20469666	23.91333008	22.53518867	22.24501801	21.93484688	20.0283699	23.29852104	21.22964096	20.51643562	20.16071892	22.50700188	22.98924446	23.57288361	22.1608181	22.08173752	23.22048759	23.80508614	23.46587944	21.97123337	22.45986557	21.27736282	18.91581917	21.39508629	20.79167366	23.31534195	18.33738327	21.36399269	19.43475914	21.34533691	21.59509468	22.31650162	22.27093315	21.80891991	21.70193291	22.998209	22.40330315	21.54849052	20.37835312	23.9579258	22.37734795
